ID	Word	W1	W2	DEF_SYNT
1	breathe	draw	air	(S1 (S (VP (VP (VB draw) (NP (NN air)) (PP (IN into))) (, ,) (CC and) (VP (VB expel) (PRT (RP out)) (PP (IN of)) (, ,) (NP (DT the) (NNS lungs))))))#
2	respire	draw	air	(S1 (S (VP (VP (VB draw) (NP (NN air)) (PP (IN into))) (, ,) (CC and) (VP (VB expel) (PRT (RP out)) (PP (IN of)) (, ,) (NP (DT the) (NNS lungs))))))#
3	suspire	draw	air	(S1 (S (VP (VP (VB draw) (NP (NN air)) (PP (IN into))) (, ,) (CC and) (VP (VB expel) (PRT (RP out)) (PP (IN of)) (, ,) (NP (DT the) (NNS lungs))))))#
4	respire	undergo	processes	(S1 (S (VP (VB undergo) (NP (NP (DT the) (ADJP (JJ biomedical) (CC and) (JJ metabolic)) (NNS processes)) (PP (IN of) (NP (NN respiration)))) (PP (IN by) (S (VP (VP (VBG taking) (PRT (RP up)) (NP (NN oxygen))) (CC and) (VP (VBG producing) (NP (NN carbon) (NN monoxide)))))))))#
5	choke	experiencing	emotion	(S1 (S (VP (VB breathe) (PP (IN with) (NP (JJ great) (NN difficulty))) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (VP (VBG experiencing) (NP (DT a) (JJ strong) (NN emotion)))))))))#
6	hyperventilate	produce	hyperventilation	(S1 (S (VP (VB produce) (NP (NN hyperventilation)) (PP (IN in)))))#
7	burp	expel	gas	(S1 (S (VP (VB expel) (NP (NN gas)) (PP (IN from) (NP (DT the) (NN stomach))))))#
8	bubble	expel	gas	(S1 (S (VP (VB expel) (NP (NN gas)) (PP (IN from) (NP (DT the) (NN stomach))))))#
9	belch	expel	gas	(S1 (S (VP (VB expel) (NP (NN gas)) (PP (IN from) (NP (DT the) (NN stomach))))))#
10	eruct	expel	gas	(S1 (S (VP (VB expel) (NP (NN gas)) (PP (IN from) (NP (DT the) (NN stomach))))))#
11	hiccup	make	sound	(S1 (S (VP (VP (VB breathe) (ADVP (RB spasmodically))) (, ,) (CC and) (VP (VB make) (NP (DT a) (NN sound))))))#
12	hiccough	make	sound	(S1 (S (VP (VP (VB breathe) (ADVP (RB spasmodically))) (, ,) (CC and) (VP (VB make) (NP (DT a) (NN sound))))))#
13	exhale	expel	air	(S1 (S (VP (VB expel) (NP (NN air)))))#
14	expire	expel	air	(S1 (S (VP (VB expel) (NP (NN air)))))#
15	sneeze	entered	nose	(S1 (S (VP (VB exhale) (ADVP (RB spasmodically)) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (NP (DT an) (NN irritant)) (VP (VBD entered) (NP (NP (CD one) (POS 's)) (NN nose)))))))))#
16	cough	has	chest	(S1 (S (VP (VB exhale) (ADVP (RB abruptly)) (, ,) (SBAR (IN as) (WHADVP (WRB when)) (S (NP (PRP one)) (VP (VBZ has) (NP (DT a) (NN chest) (NN cold) (CC or) (NN congestion))))))))#
17	blink	shut	eyes	(S1 (S (ADVP (RB briefly)) (VP (VB shut) (NP (DT the) (NNS eyes)))))#
18	wink	shut	eyes	(S1 (S (ADVP (RB briefly)) (VP (VB shut) (NP (DT the) (NNS eyes)))))#
19	nictitate	shut	eyes	(S1 (S (ADVP (RB briefly)) (VP (VB shut) (NP (DT the) (NNS eyes)))))#
20	nictate	shut	eyes	(S1 (S (ADVP (RB briefly)) (VP (VB shut) (NP (DT the) (NNS eyes)))))#
21	squint	close	eyes	(S1 (S (ADVP (RB partly)) (VP (VB close) (NP (NP (NP (CD one) (POS 's)) (NNS eyes)) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (VP (VBN hit) (PP (IN by) (NP (JJ direct) (VBG blinding) (NN light)))))))))))#
22	wince	make	face	(S1 (S (VP (VB make) (NP (NP (DT a) (NN face)) (VP (VBG indicating) (NP (NN disgust) (CC or) (NN dislike)))))))#
23	twitch	make	motion	(S1 (S (VP (VB make) (NP (DT an) (JJ uncontrolled) (, ,) (JJ short) (, ,) (JJ jerky) (NN motion)))))#
24	jerk	make	motion	(S1 (S (VP (VB make) (NP (DT an) (JJ uncontrolled) (, ,) (JJ short) (, ,) (JJ jerky) (NN motion)))))#
25	fibrillate	make	movements	(S1 (S (VP (VB make) (NP (ADJP (JJ fine) (, ,) (JJ irregular) (, ,) (JJ rapid)) (VBG twitching) (NNS movements)))))#
26	act	show	behavior	(S1 (S (S (VP (VB behave) (PP (IN in) (NP (DT a) (JJ certain) (NN manner))))) (: ;) (S (VP (VB show) (NP (DT a) (JJ certain) (NN behavior)))) (: ;) (S (VP (VP (VB conduct)) (CC or) (VP (VB comport) (NP (PRP oneself)))))))#
27	behave	show	behavior	(S1 (S (S (VP (VB behave) (PP (IN in) (NP (DT a) (JJ certain) (NN manner))))) (: ;) (S (VP (VB show) (NP (DT a) (JJ certain) (NN behavior)))) (: ;) (S (VP (VP (VB conduct)) (CC or) (VP (VB comport) (NP (PRP oneself)))))))#
28	do	show	behavior	(S1 (S (S (VP (VB behave) (PP (IN in) (NP (DT a) (JJ certain) (NN manner))))) (: ;) (S (VP (VB show) (NP (DT a) (JJ certain) (NN behavior)))) (: ;) (S (VP (VP (VB conduct)) (CC or) (VP (VB comport) (NP (PRP oneself)))))))#
29	presume	take	liberties	(S1 (S (VP (VB take) (NP (NNS liberties) (CC or) (NN act)) (PP (IN with) (NP (ADJP (RB too) (JJ much)) (NN confidence))))))#
30	optimize	take	view	(S1 (S (VP (VP (VB act) (PP (IN as) (NP (DT an) (NN optimist)))) (CC and) (VP (VB take) (NP (NP (DT a) (JJ sunny) (NN view)) (PP (IN of) (NP (DT the) (NN world))))))))#
31	optimise	take	view	(S1 (S (VP (VP (VB act) (PP (IN as) (NP (DT an) (NN optimist)))) (CC and) (VP (VB take) (NP (NP (DT a) (JJ sunny) (NN view)) (PP (IN of) (NP (DT the) (NN world))))))))#
32	play	were	game	(S1 (S (VP (VB engage) (PP (IN in) (NP (DT an) (NN activity))) (SBAR (IN as) (IN if) (S (NP (PRP it)) (VP (VP (VBD were) (NP (DT a) (NN game))) (CONJP (RB rather) (IN than)) (VP (VB take) (NP (PRP it)) (ADVP (RB seriously)))))))))#
