ID	Word	W1	W2	DEF_SYNT
1	hiccup	breathe	spasmodically	(S1 (S (VP (VP (VB breathe) (ADVP (RB spasmodically))) (, ,) (CC and) (VP (VB make) (NP (DT a) (NN sound))))))#
2	hiccough	breathe	spasmodically	(S1 (S (VP (VP (VB breathe) (ADVP (RB spasmodically))) (, ,) (CC and) (VP (VB make) (NP (DT a) (NN sound))))))#
3	sigh	breathe	deeply	(S1 (S (NP (ADJP (JJ heave) (CC or) (JJ utter)) (DT a) (NN sigh)) (: ;) (VP (VB breathe) (ADVP (RB deeply) (CC and) (RB heavily)))))#
4	sneeze	exhale	spasmodically	(S1 (S (VP (VB exhale) (ADVP (RB spasmodically)) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (NP (DT an) (NN irritant)) (VP (VBD entered) (NP (NP (CD one) (POS 's)) (NN nose)))))))))#
5	pant	breathe	noisily	(S1 (S (VP (VB breathe) (ADVP (RB noisily)) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (NP (CD one)) (VP (VBZ is) (VP (VBN exhausted)))))))))#
6	puff	breathe	noisily	(S1 (S (VP (VB breathe) (ADVP (RB noisily)) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (NP (CD one)) (VP (VBZ is) (VP (VBN exhausted)))))))))#
7	gasp	breathe	noisily	(S1 (S (VP (VB breathe) (ADVP (RB noisily)) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (NP (CD one)) (VP (VBZ is) (VP (VBN exhausted)))))))))#
8	heave	breathe	noisily	(S1 (S (VP (VB breathe) (ADVP (RB noisily)) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (NP (CD one)) (VP (VBZ is) (VP (VBN exhausted)))))))))#
9	cough	exhale	abruptly	(S1 (S (VP (VB exhale) (ADVP (RB abruptly)) (, ,) (SBAR (IN as) (WHADVP (WRB when)) (S (NP (PRP one)) (VP (VBZ has) (NP (DT a) (NN chest) (NN cold) (CC or) (NN congestion))))))))#
10	snort	exhaling	hard	(S1 (S (VP (VB make) (S (NP (DT a) (NN snorting)) (VP (VB sound) (PP (IN by) (S (VP (VBG exhaling) (ADVP (RB hard))))))))))#
