ID	Word	W1	W2	DEF_SYNT
1	breathe	draw	air	(S1 (S (VP (VP (VB draw) (NP (NN air)) (PP (IN into))) (, ,) (CC and) (VP (VB expel) (PRT (RP out)) (PP (IN of)) (, ,) (NP (DT the) (NNS lungs))))))#
2	respire	draw	air	(S1 (S (VP (VP (VB draw) (NP (NN air)) (PP (IN into))) (, ,) (CC and) (VP (VB expel) (PRT (RP out)) (PP (IN of)) (, ,) (NP (DT the) (NNS lungs))))))#
3	suspire	draw	air	(S1 (S (VP (VP (VB draw) (NP (NN air)) (PP (IN into))) (, ,) (CC and) (VP (VB expel) (PRT (RP out)) (PP (IN of)) (, ,) (NP (DT the) (NNS lungs))))))#
4	choke	experiencing	emotion	(S1 (S (VP (VB breathe) (PP (IN with) (NP (JJ great) (NN difficulty))) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (VP (VBG experiencing) (NP (DT a) (JJ strong) (NN emotion)))))))))#
5	burp	expel	gas	(S1 (S (VP (VB expel) (NP (NN gas)) (PP (IN from) (NP (DT the) (NN stomach))))))#
6	bubble	expel	gas	(S1 (S (VP (VB expel) (NP (NN gas)) (PP (IN from) (NP (DT the) (NN stomach))))))#
7	belch	expel	gas	(S1 (S (VP (VB expel) (NP (NN gas)) (PP (IN from) (NP (DT the) (NN stomach))))))#
8	eruct	expel	gas	(S1 (S (VP (VB expel) (NP (NN gas)) (PP (IN from) (NP (DT the) (NN stomach))))))#
9	hiccup	make	sound	(S1 (S (VP (VP (VB breathe) (ADVP (RB spasmodically))) (, ,) (CC and) (VP (VB make) (NP (DT a) (NN sound))))))#
10	hiccough	make	sound	(S1 (S (VP (VP (VB breathe) (ADVP (RB spasmodically))) (, ,) (CC and) (VP (VB make) (NP (DT a) (NN sound))))))#
11	exhale	expel	air	(S1 (S (VP (VB expel) (NP (NN air)))))#
12	expire	expel	air	(S1 (S (VP (VB expel) (NP (NN air)))))#
13	sneeze	entered	nose	(S1 (S (VP (VB exhale) (ADVP (RB spasmodically)) (, ,) (PP (IN as) (SBAR (WHADVP (WRB when)) (S (NP (DT an) (NN irritant)) (VP (VBD entered) (NP (NP (CD one) (POS 's)) (NN nose)))))))))#
14	cough	has	chest	(S1 (S (VP (VB exhale) (ADVP (RB abruptly)) (, ,) (SBAR (IN as) (WHADVP (WRB when)) (S (NP (PRP one)) (VP (VBZ has) (NP (DT a) (NN chest) (NN cold) (CC or) (NN congestion))))))))#
15	blink	shut	eyes	(S1 (S (ADVP (RB briefly)) (VP (VB shut) (NP (DT the) (NNS eyes)))))#
16	wink	shut	eyes	(S1 (S (ADVP (RB briefly)) (VP (VB shut) (NP (DT the) (NNS eyes)))))#
17	nictitate	shut	eyes	(S1 (S (ADVP (RB briefly)) (VP (VB shut) (NP (DT the) (NNS eyes)))))#
18	nictate	shut	eyes	(S1 (S (ADVP (RB briefly)) (VP (VB shut) (NP (DT the) (NNS eyes)))))#
19	wince	make	face	(S1 (S (VP (VB make) (NP (NP (DT a) (NN face)) (VP (VBG indicating) (NP (NN disgust) (CC or) (NN dislike)))))))#
20	twitch	make	motion	(S1 (S (VP (VB make) (NP (DT an) (JJ uncontrolled) (, ,) (JJ short) (, ,) (JJ jerky) (NN motion)))))#
21	jerk	make	motion	(S1 (S (VP (VB make) (NP (DT an) (JJ uncontrolled) (, ,) (JJ short) (, ,) (JJ jerky) (NN motion)))))#
22	fibrillate	make	movements	(S1 (S (VP (VB make) (NP (ADJP (JJ fine) (, ,) (JJ irregular) (, ,) (JJ rapid)) (VBG twitching) (NNS movements)))))#
23	act	show	behavior	(S1 (S (S (VP (VB behave) (PP (IN in) (NP (DT a) (JJ certain) (NN manner))))) (: ;) (S (VP (VB show) (NP (DT a) (JJ certain) (NN behavior)))) (: ;) (S (VP (VP (VB conduct)) (CC or) (VP (VB comport) (NP (PRP oneself)))))))#
24	behave	show	behavior	(S1 (S (S (VP (VB behave) (PP (IN in) (NP (DT a) (JJ certain) (NN manner))))) (: ;) (S (VP (VB show) (NP (DT a) (JJ certain) (NN behavior)))) (: ;) (S (VP (VP (VB conduct)) (CC or) (VP (VB comport) (NP (PRP oneself)))))))#
25	do	show	behavior	(S1 (S (S (VP (VB behave) (PP (IN in) (NP (DT a) (JJ certain) (NN manner))))) (: ;) (S (VP (VB show) (NP (DT a) (JJ certain) (NN behavior)))) (: ;) (S (VP (VP (VB conduct)) (CC or) (VP (VB comport) (NP (PRP oneself)))))))#
26	presume	take	liberties	(S1 (S (VP (VB take) (NP (NNS liberties) (CC or) (NN act)) (PP (IN with) (NP (ADJP (RB too) (JJ much)) (NN confidence))))))#
27	optimize	take	view	(S1 (S (VP (VP (VB act) (PP (IN as) (NP (DT an) (NN optimist)))) (CC and) (VP (VB take) (NP (NP (DT a) (JJ sunny) (NN view)) (PP (IN of) (NP (DT the) (NN world))))))))#
28	optimise	take	view	(S1 (S (VP (VP (VB act) (PP (IN as) (NP (DT an) (NN optimist)))) (CC and) (VP (VB take) (NP (NP (DT a) (JJ sunny) (NN view)) (PP (IN of) (NP (DT the) (NN world))))))))#
29	play	were	game	(S1 (S (VP (VB engage) (PP (IN in) (NP (DT an) (NN activity))) (SBAR (IN as) (IN if) (S (NP (PRP it)) (VP (VP (VBD were) (NP (DT a) (NN game))) (CONJP (RB rather) (IN than)) (VP (VB take) (NP (PRP it)) (ADVP (RB seriously)))))))))#
30	toy	were	game	(S1 (S (VP (VB engage) (PP (IN in) (NP (DT an) (NN activity))) (SBAR (IN as) (IN if) (S (NP (PRP it)) (VP (VP (VBD were) (NP (DT a) (NN game))) (CONJP (RB rather) (IN than)) (VP (VB take) (NP (PRP it)) (ADVP (RB seriously)))))))))#
31	nap	take	siesta	(S1 (S (VP (VB take) (NP (DT a) (NN siesta)))))#
32	catnap	take	siesta	(S1 (S (VP (VB take) (NP (DT a) (NN siesta)))))#
33	affect	have	effect	(S1 (S (S (VP (VB act) (ADVP (RB physically) (RB on)))) (: ;) (S (VP (VB have) (NP (DT an) (NN effect)) (PP (IN upon))))))#
34	hypnotize	induce	hypnosis	(S1 (S (VP (VB induce) (NP (NNS hypnosis)) (PP (IN in)))))#
