SYSET	Word	W1	W2	DEF_SYNT
103389761	4WD	motor	vehicle	 (S1 (NP (NP (DT a)(NN motor)(NN vehicle))(PP (IN with)(NP (DT a)(JJ four-wheel)(NN drive)(NN transmission)(NN system)))))# 
105400860	A	blood	group	 (S1 (NP (NP (DT the)(NN blood)(NN group))(SBAR (WHNP (WP whose)(JJ red)(NNS cells))(S (VP (VBP carry)(NP (DT the)(DT A)(NN antigen)))))))# 
105401096	AB	blood	group	 (S1 (NP (NP (DT the)(NN blood)(NN group))(SBAR (WHNP (WP whose)(JJ red)(NNS cells))(S (VP (VBP carry)(NP (DT both)(DT the)(NNP A)(CC and)(NNP B)(NNS antigens)))))))# 
100034777	abdominoplasty	cosmetic	surgery	 (S1 (NP (NP (NN cosmetic)(NN surgery))(PP (IN of)(NP (DT the)(NN abdomen)(S (VP (TO to)(VP (VP (VB remove)(NP (NNS wrinkles)))(CC and)(VP (VB tighten)(NP (DT the)(NN skin))(PP (IN over)(NP (DT the)(NN stomach)))))))))))# 
108895148	Aberdare	mining	town	 (S1 (NP (NP (DT a)(NN mining)(NN town))(PP (IN in)(NP (JJ southern)(NNP Wales)))))# 
102669295	abutment	masonry	support	 (S1 (NP (NP (DT a)(NN masonry)(NN support))(SBAR (WHNP (IN that))(S (VP (VP (NNS touches))(CC and)(VP (ADVP (RB directly))(VBZ receives)(NP (NP (NN thrust))(CC or)(NP (NP (NN pressure))(PP (IN of)(NP (DT an)(NN arch)(CC or)(NN bridge)))))))))))# 
113644165	abwatt	power	unit	 (S1 (NP (NP (DT a)(NN power)(NN unit))(ADJP (JJ equal)(PP (TO to)(NP (NP (DT the)(NN power))(VP (VBN dissipated)(SBAR (WHADVP (WRB when))(S (NP (CD 1)(NN abampere))(VP (VBZ flows)(PP (IN across)(NP (NP (DT a)(JJ potential)(NN difference))(PP (IN of)(NP (
101750027	Acanthophis	elapid	snakes	 (S1 (NP (JJ Australian)(NN elapid)(NNS snakes)))# 
114598834	acaracide	chemical	agent	 (S1 (NP (NP (DT a)(NN chemical)(NN agent))(VP (VBN used)(S (VP (TO to)(VP (VB kill)(NP (NNS mites))))))))# 
114598834	acaricide	chemical	agent	 (S1 (NP (NP (DT a)(NN chemical)(NN agent))(VP (VBN used)(S (VP (TO to)(VP (VB kill)(NP (NNS mites))))))))# 
102672371	accommodation	living	quarters	 (S1 (NP (NP (NN living)(NNS quarters))(VP (VBN provided)(PP (IN for)(NP (JJ public)(NN convenience))))))# 
112975982	Acrasiomycetes	slime	molds	 (S1 (NP (JJ cellular)(NN slime)(NNS molds)))# 
101651370	Acris	cricket	frogs	 (S1 (NP (NN cricket)(NNS frogs)))# 
114593671	acrylic	glassy	thermoplastic	 (S1 (NP (DT a)(NN glassy)(NN thermoplastic)))# 
101914163	actinozoan	marine	coelenterates	 (S1 (NP (NP (JJ sessile)(NN marine)(NNS coelenterates))(PP (VBG including)(NP (JJ solitary)(CC and)(JJ colonial)(NNS polyps)))))# 
114776804	active	chemical	agent	 (S1 (NP (NP (NN chemical)(NN agent))(ADJP (JJ capable)(PP (IN of)(NP (NN activity))))))# 
114729737	actomyosin	protein	complex	 (S1 (NP (NP (DT a)(NN protein)(NN complex))(PP (IN in)(NP (NN muscle)(NNS fibers)))))# 
109767700	actress	female	actor	 (S1 (NP (DT a)(NN female)(NN actor)))# 
109515027	Adad	Babylonian	god	 (S1 (NP (NP (NNP Babylonian)(NNP god))(PP (IN of)(NP (NP (NNS storms))(CC and)(NP (NN wind))))))# 
110808353	Adams	6th	President	 (S1 (NP (NP (NNP 6th)(NNP President))(PP (IN of)(NP (DT the)(NNP United)(NNPS States)))))# 
100872107	addition	arithmetic	operation	 (S1 (NP (NP (DT the)(NN arithmetic)(NN operation))(PP (IN of)(NP (NN summing)))))# 
108834543	Adelaide	state	capital	 (S1 (NP (NP (DT the)(NN state)(NN capital))(PP (IN of)(NP (NNP South)(NNP Australia)))))# 
102254370	Adelgidae	plant	lice	 (S1 (NP (NN plant)(NN lice)))# 
106629610	adieu	farewell	remark	 (S1 (NP (DT a)(NN farewell)(NN remark)))# 
106629610	adios	farewell	remark	 (S1 (NP (DT a)(NN farewell)(NN remark)))# 
109187923	Adirondacks	mountain	range	 (S1 (NP (NP (DT a)(NN mountain)(NN range))(PP (IN in)(NP (JJ northeastern)(NNP New)(NNP York)(NNP State)))))# 
106319029	adjective	word	class	 (S1 (NP (NP (DT the)(NN word)(NN class))(SBAR (WHNP (WDT that))(S (VP (VBZ qualifies)(NP (NNS nouns)))))))# 
115147850	adolescence	time	period	 (S1 (NP (NP (DT the)(NN time)(NN period))(PP (IN between)(NP (NP (DT the)(NN beginning))(PP (IN of)(NP (NN puberty)(CC and)(NN adulthood)))))))# 
106385080	Adonic	verse	line	 (S1 (NP (NP (DT a)(NN verse)(NN line))(PP (IN with)(NP (NP (DT a)(NN dactyl))(VP (VBN followed)(PP (IN by)(NP (DT a)(NN spondee)(CC or)(NN trochee))))))))# 
111021342	Adrian	Roman	Emperor	 (S1 (NP (NP (NNP Roman)(NNP Emperor))(SBAR (WHNP (WP who))(S (VP (AUX was)(NP (NP (DT the)(JJ adoptive)(NN son))(PP (IN of)(NP (NNP Trajan)))))))))# 
109772930	adulteress	woman	adulterer	 (S1 (NP (DT a)(NN woman)(NN adulterer)))# 
109773169	adventuress	woman	adventurer	 (S1 (NP (DT a)(NN woman)(NN adventurer)))# 
106319157	adverb	word	class	 (S1 (NP (NP (DT the)(NN word)(NN class))(SBAR (WHNP (WDT that))(S (VP (VBZ qualifies)(NP (NNS verbs)(CC or)(NNS clauses)))))))# 
102682311	adz	edge	tool	 (S1 (NP (NP (DT an)(NN edge)(NN tool))(VP (VBN used)(S (VP (TO to)(VP (VB cut)(CC and)(VB shape)(NP (NN wood))))))))# 
102682311	adze	edge	tool	 (S1 (NP (NP (DT an)(NN edge)(NN tool))(VP (VBN used)(S (VP (TO to)(VP (VB cut)(CC and)(VB shape)(NP (NN wood))))))))# 
112104614	Aegilops	goat	grass	 (S1 (NP (NN goat)(NN grass)))# 
101910998	Aegina	small	medusa	 (S1 (NP (NNP small)(NNP medusa)))# 
